Adresa,lat,lon
"Roháčova 2123, 39701 Písek",49.3090644,14.1555533
"Tiskařská 12, 10800 Praha",50.0789536,14.5368049
"Lidická 535, 36001 Karlovy Vary",50.2331439,12.8932697
"28. října 500, 58401 Ledeč nad Sázavou",49.698506,15.2744372
"32, 41757 Hrobčice",50.5183078,13.7856731
"77, 41757 Hrobčice",50.5183078,13.7856731
"21, 53002 Dolní Roveň",50.0178652,15.7832257
"Spojenců 115, 54232 Úpice",50.5056225,16.0258388
"Žižkova 197, 51754 Vamberk",50.1189038,16.29643
"297, 57101 Městečko Trnávka",49.7092677,16.7273236
"213, 35735 Nové Sedlo",50.206466,12.7380047
"Svatý Mikuláš 140, 28401 Kutná Hora",49.9859603,15.3501889
"Baštecká 7, 28123 STARÝ KOLIN",50.0155578,15.2950861
"Humburky 1, 50401 NOVÝ BYDŽOV",50.2354025,15.5043105
"Sandrická, 966 81 Žarnovica",48.4710009,18.7195458
"Kutnohorská 309/84, 10900 Praha",50.045288,14.5777186
"487, 78396 Újezd",49.7696253,17.1823377
"Omlenická 37, 382 41 Kaplice",48.735636,14.4795194
"Starokolínská 307, 19016 Praha 21",50.0739993,14.6579381
"Komenského 67, 54901 NOVÉ MĚSTO NAD METUJÍ",50.3471863,16.1507349
"Tumlířova 83, 54901 Spy",50.3310198,16.1583449
"U Stavoservisu 692/1b, 10800 PRAHA 10 - MALEŠICE",50.0795844,14.5331712
"Bratislavská cesta 1804, 94501 Komárno",47.7661586,18.0915301
"Považská 2, 94002 Nové Zámky",48.0995087,18.0648167
"Kpt. Nálepku 1, 93405 Levice",48.2462713,18.5314022
"Staničná 5176/6, 92701 Šaľa",48.1482346,17.858837
"Sládkovičova 4, 94301 Štúrovo",47.7968193,18.673206
"Lastomírska 1, 7101 Michalovce",48.7433977,21.9225713
"Kúpelská 1, 7301 Sobrance",48.7469878,22.1800739
"Dopravná 3, 7501 Trebišov",48.62734,21.7033062
"Pribenícka 1, 7701 Kráľovský Chlmec",48.4161419,21.9819233
"Štúrova 72, 94944 Nitra",48.6381438,17.1454789
"Pod Kalváriou 4602/72A, 95501 Topoľčany",48.5534967,18.1558221
"Staničná 27, 95339 Zlaté Moravce",48.3850409,18.3771351
"Nitrianska 5, 91702 Trnava",48.3639093,17.6023901
"Dopravná 7, 92101 Piešťany",48.5926281,17.8132397
"Železničná 329/21, 90501 Senica",48.6689365,17.3416223
"Bystrická cesta 62, 3401 Ružomberok",49.0698821,19.3117934
"Štefánikova 2, 3101 Liptovský Mikuláš",49.0919973,19.6050717
"Nábrežie Oravy 525, 2601 Dolný Kubín",49.2203159,19.2968449
"Kliňanská cesta 567, 2901 Námestovo",49.4150151,19.4897745
"Oravnická 601, 2801 Trstená",,
"Nábrežie A. Hlinku 25, 92001 Hlohovec",48.4263375,17.7897997
"Mlynské Nivy 70, 83104 Bratislava",48.1441776,17.15509
"Továrenská 6222, 90101 Malacky",48.4307132,17.0270837
"Masarykova 549, 26801 HOŘOVICE",49.83245,13.88402
"Pod Hájem 97, 26701 KRÁLŮV DVŮR",49.9495934,14.0380557
"Pod Hájem 97, 26401 KRÁLŮV DVŮR",49.9495934,14.0380557
"U Stavoservisu 692, 10800 PRAHA 10",50.0795844,14.5331712
"Příbramská 1903, 26301 DOBŘÍŠ",49.7765901,14.1669578
"Emilie Dvořákové 70, 41501 TEPLICE",50.6565758,13.8321435
"Boleslavská 98/6, 29306 KOSMONOSY",50.4336351,14.9271563
"K Podlesí 540, 26101 PŘÍBRAM III",49.6908791,13.9917909
"Nádražní 438, 26401 SEDLČANY",49.6566276,14.4313525
"Nádražní 501, 54224 SVOBODA NAD ÚPOU",50.6204126,15.8206163
"Povážská 2, 26702 Nové zámky",48.0995087,18.0648167
"areál MOTOTECHNA, 15500 PRAHA 5 STODŮLKY",50.0440752,14.3187658
"12, 51601 Rychnov nad Kněžnou",50.1696607,16.319514
"160, 53943 Krouna",49.7724007,16.0263869
"Oldřetice 38, 53901 Raná",49.808825,15.9737394
"Bratčice 80, 28601 ČÁSLAV",49.8887541,15.3852095
"Budovatelů 324, 53312 CHVALETICE",50.0354485,15.4098831
"Okružní, 79841 KOSTELEC NA HANÉ",49.5149391,17.0647004
"Poříčí 870, 51701 Solnice",50.2003508,16.2356909
"Klacovská 771, 50311 Hradec Králové",50.2195772,15.7696643
"Piešťanská 2, 91501 Nové Mesto nad Váhom",48.751615,17.8338341
"Sázavská 174, 58401 Ledeč nad Sázavou",49.6958822,15.2724085
"Plazy 102, 29301 Mladá Boleslav",50.4107209,14.9575828
"Rohacova 145/14, 13000 PRAHA 3",50.0865887,14.4543595
"Jiráskova 686, 53401 Holice",50.072265,15.9925313
"Žerotínova 483/1, 37004 České Budějovice",48.9854118,14.4873522
"Pekárenská 251/79, 37004 České Budějovice",48.9836548,14.4734737
"217, 53401 Ostřetín",50.0447221,16.0302943
"Hradecká 378, 50601 Jičín",50.4343746,15.3762948
"150, 53801 Bylany",49.9570563,15.7343521
"U Přejezdu 847, 39181 Veselí nad Lužnicí",49.1899949,14.7148933
"Hornická 1613, 35601 Sokolov",50.1774569,12.6560233
"Havířská 357, 40010 Ústí nad Labem-Úžín",50.6859626,13.9901842
"17.listopadu  99, 28401 KUTNÁ HORA",49.9603592,15.2791803
"Podvinný mlýn 2126, 19000 Praha",50.1061443,14.4857493
"124, 79812 Vrbátky",49.4792834,17.193634
"Skladová 643/27, 32600 Plzeň",49.7192635,13.4137082
"NA Staré poště 324, 53002 Pardubice",50.0307409,15.7684417
"Chebská 53, 35601 Sokolov",50.166072,12.6359619
"45, 28533 Církvice",49.9473633,15.3376229
"Čechova 395/59, 37001 České Budějovice",48.9645272,14.4824172
"455, 78347 Hněvotín",49.5713704,17.1774013
"Plzeňská 158, 26761 CERHOVICE",49.8483383,13.8328464
"Královéhradecká 1545, 56201 Ústí nad Orlicí",49.9761618,16.388308
"Havlíčkova 904, 56802 Svitavy",49.7606841,16.4687657
"Přerovská 80, 78372 Velký Týnec",49.5489788,17.3168324
"Sokolská 1605, 12000 Praha",50.0768087,14.429339
"Turkovice 101, 53363 Turkovice",49.9563285,15.5533787
"Hegerova 171, 57201 Polička",49.7171926,16.2727388
"Mlýnská 520, 36452 Žlutice",50.0895666,13.168219
"Zádub-Závišín 25, 35301 Zádub-Závišín",49.9708773,12.7434129
"Konopištská 2108, 25601 Benešov",49.780206,14.674158
"Plzeňská cesta 220/35, 32600 Plzeň",49.7187403,13.4020945
"Koterovská 537/179, 32600 Plzeň",49.7224199,13.4159587
"Pardubická 283, 56501 Choceň",49.990891,16.2124937
"Do Kotle 927, 56401 Žamberk",50.0881287,16.4541494
"Kolínská 836, 28504 Uhlířské Janovice",49.8821764,15.0659502
"U Mlékárny 844/8a, 35301 Mariánské Lázně",49.9561906,12.6933309
"Jamská 2436/5, 59101 Žďár nad Sázavou",49.5575222,15.952484
"Jamská 30, 59101 Žďár nad Sázavou",49.5580882,15.9530235
"Dukelských hrdinů 1154, 56301 Lanškroun",49.9073799,16.6256027
"U Sokolovny 69, 66434 Moravské Knínice",49.2952325,16.5022263
"O. Nejedlého 223, 53901 HLINSKO V ČECHÁCH",49.7637738,15.9070175
"Obce Ležáků, 53701 Chrudim",49.9442519,15.795049
"Postřelmovská 2271, 78901 Zábřeh",49.88626,16.8892663
"Husova 57, 53401 HOLICE V ČECHÁCH",50.0725326,15.9872338
"136, 36001 Kolová",42.7353214,24.0486456
"Hlavní 81/31, 36263 Dulovice",50.2493016,12.8994525
"Ludvíka Vojtěcha 1895, 68001 Boskovice",49.4865175,16.6764525
"Polepská 867, 28059 KOLÍN IV",50.0172943,15.2072052
"Pražská 11, 50901 Nová Paka",50.4876051,15.5111699
"Vlčnovská 2294, 68801 Uherský Brod",49.0203376,17.6460675
"Komenského náměstí 881, 25210 MNÍŠEK POD BRDY",49.8754763,14.2880922
"Vltavské nábř. 528/10, 37005 České Budějovice",48.9805336,14.4628587
"Hliníky 2362, 68001 Boskovice",49.4920388,16.6470175
"Pražská 157, 53006 Pardubice",50.0204679,15.7302714
"Družstevní 358, 51301 Semily",50.60449,15.324065
"Kamenné Zboží 134, 28802 NYMBURK",50.1921953,15.0015421
"19, 53501 Sovolusky",50.0191033,15.5647359
"Jabloňová 848, 28522 ZRUČ NAD SÁZAVOU",49.7375775,15.1051096
"Prakšická 2354, 68801 Uherský Brod",49.0327713,17.6457913
"Obecnická 365, 261 01 Příbram",49.6942768,14.0014609
"Lžovická 301, 28126 TÝNEC NAD LABEM",50.0393039,15.3534983
"Voštice 106, 56601 VYSOKÉ MÝTO",49.923663,16.1870263
"U nemocnice 1190, 36301 Ostrov",50.3121937,12.9563703
